Product_Name, Pricing, Rating
APPLE iPhone 13 (Midnight| 128 GB),RS.69900,4.7
APPLE iPhone 13 (Starlight| 128 GB),RS.69900,4.7
APPLE iPhone 13 (Pink| 128 GB),RS.69900,4.7
APPLE iPhone 13 (Blue| 128 GB),RS.69900,4.7
APPLE iPhone 11 (White| 128 GB),RS.48900,4.6
APPLE iPhone 13 (Green| 128 GB),RS.69900,4.7
APPLE iPhone 14 Plus (Starlight| 128 GB),RS.89900,4.7
APPLE iPhone 11 (Black| 128 GB),RS.48900,4.6
APPLE iPhone 14 Plus (Purple| 128 GB),RS.89900,4.7
APPLE iPhone 14 Plus (Midnight| 128 GB),RS.89900,4.7
APPLE iPhone 14 Plus (Blue| 128 GB),RS.89900,4.7
APPLE iPhone 13 ((PRODUCT)RED| 128 GB),RS.69900,4.7
APPLE iPhone 11 (White| 64 GB),RS.43900,4.6
APPLE iPhone 11 (Black| 64 GB),RS.43900,4.6
APPLE iPhone 14 (Midnight| 128 GB),RS.79900,4.6
APPLE iPhone 14 (Starlight| 128 GB),RS.79900,4.6
APPLE iPhone 14 (Purple| 128 GB),RS.79900,4.6
APPLE iPhone 14 (Blue| 128 GB),RS.79900,4.6
APPLE iPhone 14 Plus ((PRODUCT)RED| 128 GB),RS.89900,4.7
APPLE iPhone 14 (Purple| 256 GB),RS.89900,4.6
APPLE iPhone 14 (Blue| 256 GB),RS.89900,4.6
APPLE iPhone 14 Pro (Deep Purple| 128 GB),RS.129900,4.7
APPLE iPhone 14 (Midnight| 256 GB),RS.89900,4.6
APPLE iPhone 14 Pro (Space Black| 128 GB),RS.129900,4.7
